Topic,Count,theme1,theme2,Name,Representation,,,,,,,,,,,,,,,,,,,,,
119,560,Population Structure,State Intervention,"119_Don't give birth_If you give birth, you will love to give birth_Want to give birth","['Don't have children', 'If you have children', 'Love to have children', 'Want to have children', 'Should I have children', 'Determined', 'Won', 'Have more children', 'Willing', 'Don't want']",,,,,,,,,,,,,,,,,,,,,
120,198,Childrearing Cost,Economic Uncertainty,120_Cannot afford to support_Main_Cannot support_No money to support,"['can't afford to support', 'main', 'can't support', 'no money to support', 'key', 'how dare', 'worth it', 'raise', 'raise in vain', 'can't afford']",,,,,,,,,,,,,,,,,,,,,
121,246,,,121_laugh_real_silly smile_take the microphone,"['laugh', 'real', 'silly smile', 'take the microphone', 'smirk', 'funny', 'good looking', 'too right', 'service', 'finished']",,,,,,,,,,,,,,,,,,,,,
122,183,Childrearing Cost,Expense,122_TikTok_Browse TikTok_YinShang_Social,"['TikTok', 'Brush TikTok', 'On TikTok', 'Social', 'In TikTok', 'TikTok Club', 'Video TikTok', 'All', 'Video', 'News']",,,,,,,,,,,,,,,,,,,,,
123,276,Health,Assisted Reproduction,123_hospital_doctor_nurse_obstetrics and gynecology,"['hospital', 'doctor', 'nurse', 'obstetrics and gynecology', 'queue', 'bed', 'prenatal check-up', 'male nurse', 'medical', 'care worker']",,,,,,,,,,,,,,,,,,,,,
124,302,Values,Individualism,124_happy_joy_too much_so envious,"['happy', 'joy', 'too much', 'very envious', 'heart', 'happy', 'too high', 'smirk', 'very happy', 'rose']",,,,,,,,,,,,,,,,,,,,,
125,209,,,125_nice_whoops_无瓜_you,"['nice', 'whoops', 'no melon', 'you', 'North', 'simpson', 'cas', 'Wanwan', 'aug', 'ax']",,,,,,,,,,,,,,,,,,,,,
126,242,Health,Assisted Reproduction,126_Traditional Chinese Medicine_Chinese Medicine_Symptoms_Western Medicine,"['Traditional Chinese Medicine', 'Chinese Medicine', 'Symptomatic', 'Western Medicine', 'Effective', 'Very Quick', 'Effect', 'Cough', 'Doctor', 'Old Chinese Medicine Doctor']",,,,,,,,,,,,,,,,,,,,,
127,278,Values,Individualism,127_real_interview_energy_true or false,"['Real', 'Interview', 'Energy', 'Real or fake', 'Sincerity', 'Truth', 'Reporter', 'Transmission', 'Nirvana', '666']",,,,,,,,,,,,,,,,,,,,,
128,351,Population Structure,Old Age Care Demand,128_Retirement_Pension_Retirement,"['Retirement', 'Pension', 'Old-age', 'Retirement', 'Aging', 'Social Security', 'Old-age Insurance', 'Old People', 'Aging Population', 'Five Guarantees']",,,,,,,,,,,,,,,,,,,,,
129,266,Childrearing Cost,Domestic Labor,129_brainwashing_thanobs_no_possible,"['Brainwash', 'Thanos', 'No', 'Maybe', 'I will', 'Social', 'Make a splash', 'Everywhere', 'Meet the cloud', 'Snap fingers']",,,,,,,,,,,,,,,,,,,,,
130,266,Childrearing Cost,Domestic Labor,130_Regret_having_a_child_after_giving_birth,"['regret', 'giving birth', 'after giving birth', 'child', 'regret medicine', 'regret', 'I will give birth', 'not giving birth', 'get married', 'which one']",,,,,,,,,,,,,,,,,,,,,
131,227,Values,Individualism,131_heart_active_account_naughty,"['heart', 'active', 'account', 'naughty', 'bless', 'support', 'full text', 'mutual follow', 'top', 'recite']",,,,,,,,,,,,,,,,,,,,,
132,296,Values,Individualism,132_Too Right_Declaration_Just Enough_Mushroom,"['too right', 'declaration', 'just enough', 'mushroom', 'one', 'first', 'find', 'cannot reach', 'blank paper', 'where to find']",,,,,,,,,,,,,,,,,,,,,
133,225,,,133_netizen_cyberbully_troll_network,"['netizen', 'cyberbully', 'troll', 'network', 'internet', 'water army', 'mouth substitute', 'this session', 'cyberbully', 'online']",,,,,,,,,,,,,,,,,,,,,
134,353,Values,Family Diversity,134_Dating_Love_Marriage_Rose,"['Dating', 'Love', 'Marriage', 'Rose', 'Partner', 'Impulsive', 'Partner', 'Together', 'CP', 'Single']",,,,,,,,,,,,,,,,,,,,,
135,224,Population Structure,State Intervention,135_Video_Joke_Blackface_This,"['video', 'joke', 'black face', 'this kind', 'vcr', 'swiped to', 'seen', 'CCTV', 'Bili', 'comment']",,,,,,,,,,,,,,,,,,,,,
136,355,Values,Individualism,136_tears_tears_hot tears_eyes,"['tears', 'tears running', 'hot tears', 'eyes', 'crying', 'tears', 'really', 'manchi', 'real', 'heart']",,,,,,,,,,,,,,,,,,,,,
137,207,Values,Individualism,137_Well said_Look_Nonsense_Exception,"['well said', 'look', 'nonsense', 'special case', 'very', 'introduction', 'see', 'this is', 'reason', 'statement']",,,,,,,,,,,,,,,,,,,,,
138,254,Values,Family Diversity,138_Party_Girlfriend_Looking for a partner_Boyfriend,"['object', 'girlfriend', 'looking for object', 'boyfriend', 'find', 'can't find', 'find one', 'smoking', 'drinking', 'introduction']",,,,,,,,,,,,,,,,,,,,,
139,316,Values,Gender Equality,139_Man_Find_a_woman_to_earn_money,"['man', 'find', 'woman', 'earn money', 'boy', 'girl', 'earn money', 'have money', 'save money', 'girl']",,,,,,,,,,,,,,,,,,,,,
140,267,Utility,Reproduction,140_gene_inheritance_continuation of the family line_inheritance,"['gene', 'inheritance', 'carry on', 'inheritance', 'descendants', 'continuation', 'excellence', 'third generation', 'throne', 'Li Jian']",,,,,,,,,,,,,,,,,,,,,
141,456,Population Structure,State Intervention,141_feel_seem_feel_really,"['feel', 'seem', 'think', 'really', 'see', 'finally', 'wow', 'status', 'outrageous', 'is it']",,,,,,,,,,,,,,,,,,,,,
142,246,Utility,Emotional Support,142_wife_husband_daughter-in-law_paralysis,"['wife', 'husband', 'daughter-in-law', 'paralyzed', 'girlfriend', 'halfway', 'couple', 'routine', 'send first', 'wife']",,,,,,,,,,,,,,,,,,,,,
143,225,Childrearing Cost,Expense,143_rural_urban_Shanghai_big city,"['rural', 'city', 'Shanghai', 'big city', 'village', 'three', 'place', 'county town', 'look', 'third line']",,,,,,,,,,,,,,,,,,,,,
144,219,Childrearing Cost,Domestic Labor,144_Expert_This_is_worthy_of_the_only,"['expert', 'this is', 'worthy', 'only', 'this is', 'sensible', 'real', 'cloudy', 'expert', 'God']",,,,,,,,,,,,,,,,,,,,,
145,259,Values,Family Diversity,145_a pair_two_they_these two,"['a pair', 'two', 'they', 'these two', 'one', 'enough', 'better to have nothing than to have something less than perfect', 'well matched', 'sinister', 'together']",,,,,,,,,,,,,,,,,,,,,
146,178,Values,Family Diversity,146_online dating_rival_network_xinxinxin,"['online love', 'rival', 'network', 'trust', 'online', 'era', 'different place', 'age', 'age', 'open-minded']",,,,,,,,,,,,,,,,,,,,,
147,161,Population Structure,State Intervention,"147_Fewer births, better births_Life_Happiness_Fewer births","['Fewer births, better quality', 'Life', 'Happiness', 'Fewer births', 'Good quality', 'Late marriage and late childbearing', 'Slogan', 'Advocacy', 'From childhood', 'Say fewer births']",,,,,,,,,,,,,,,,,,,,,
148,212,Values,Family Diversity,148_Blind Date_94_90_95,"['Blind Date', '94', '90', '95', '92', '96', '97', '93', '98', '91']",,,,,,,,,,,,,,,,,,,,,
149,230,,,149_real_truth_tears_feel,"['real', 'truth', 'tears', 'feel', 'long', 'starry sky', 'wow', 'real', 'as', 'nimma']",,,,,,,,,,,,,,,,,,,,,
150,379,Childrearing Cost,Economic Uncertainty,150_Don't dare_want to have a baby_don't want to_can't afford to have a baby,"['Don't dare', 'Want to have a baby', 'Don't want to', 'Can't afford to have a baby', 'Give another baby', 'Don't have a baby', 'Can't have a baby', 'Have had a baby', 'Can have a baby', 'Didn't have a baby']",,,,,,,,,,,,,,,,,,,,,
151,323,Values,Family Diversity,151_Married_Marriage_Even worse_Marriage,"['got married', 'married', 'worse', 'marriage', 'pressure', 'pain', 'too tired', 'after marriage', 'too difficult', 'for a lifetime']",,,,,,,,,,,,,,,,,,,,,
152,279,Childrearing Cost,Economic Uncertainty,152_Too much pressure_in life_society,"['pressure', 'too much', 'life', 'society', '90', 'young people', 'too tired', 'post-80s', 'can't bear it', 'rest']",,,,,,,,,,,,,,,,,,,,,
153,149,Childrearing Cost,Expense,153_Thousands of lights_one_kitchen_electricity_fee,"['Thousands of lights', 'one lamp', 'kitchen', 'electricity bill', 'lights', 'washing dishes', 'cooking', 'turning on the lights', 'housework', 'no lights']",,,,,,,,,,,,,,,,,,,,,
154,180,Values,Individualism,154_confused_it's rare to be confused_playing dumb_playing confused,"['confused', 'it's rare to be confused', 'play dumb', 'play confused', 'understand', 'a little bit', 'confused', 'sometimes', 'holding', 'confused']",,,,,,,,,,,,,,,,,,,,,
155,365,Values,Individualism,155_cry_heart_speak_,"['cry', 'voice', 'heart', 'speak', 'great', 'zhi', 'look', 'cloudy', 'drive away', 'envy']",,,,,,,,,,,,,,,,,,,,,
156,288,Utility,Reproduction,156_can live_get married_old age_definitely,"['live', 'married', 'old age', 'definitely', 'less than', 'live to old age', 'married', 'age', '70', 'young']",,,,,,,,,,,,,,,,,,,,,
157,218,,,157_polite_no_lose_smile_left,"['polite', 'not lost', 'smile', 'left', 'right', 'Bian Baekhyun', 'cool', 'naked', 'explosion', 'picking']",,,,,,,,,,,,,,,,,,,,,
158,307,Utility,Reproduction,158_son_one son_one daughter_daughter,"['son', 'one son', 'one daughter', 'daughter', 'two', 'passing by', 'sons and daughters', 'grandchildren', 'daughter', 'children and grandchildren have their own']",,,,,,,,,,,,,,,,,,,,,
159,148,Population Structure,State Intervention,159_I believe_I am sure_I believe very much_I believe very much,"['I believe', 'I am sure', 'I believe very much', 'I believe very much', 'I will carry it through', 'I am willing to accept it', 'I have no doubt about it', 'I will die', 'More and more', 'I have eyes for it']",,,,,,,,,,,,,,,,,,,,,
160,222,Population Structure,State Intervention,160_angry_subsidy_reward_subsidy,"['angry', 'subsidy', 'reward', 'subsidy', 'one million', '100', '200', 'coffee', '1000', '500']",,,,,,,,,,,,,,,,,,,,,
161,264,Values,Family Diversity,161_Choose_Marry_Wrong_Marriage_Choose,"['Choice', 'Marry the Wrong Man', 'Marriage', 'Choose the City', 'Regret', 'Destination', 'Multiple Choice Question', 'This', 'Once', 'Wall']",,,,,,,,,,,,,,,,,,,,,
162,148,,,162_judge_host_anchor_program,"['judge', 'host', 'anchor', 'program', 'live broadcast', 'backache', 'host', 'anger', 'television', 'speaking']",,,,,,,,,,,,,,,,,,,,,
163,264,Values,Family Diversity,163_marriage_meaning_marry_anchor,"['marriage', 'meaning', 'marry', 'anchor', 'validity period', 'renewal', 'why', 'impulsive', 'marriage', 'become']",,,,,,,,,,,,,,,,,,,,,
164,270,Values,Individualism,164_Voice_Believe_Model_Real,"['Voice', 'Believe', 'Role model', 'Real', 'Our generation', 'Comment', 'Outrageous', 'Cool', 'Too cool', 'Awesome']",,,,,,,,,,,,,,,,,,,,,
165,222,Values,Individualism,165_Well said_True_Graduate_Right,"['well said', 'true', 'graduate student', 'yes', 'voice', 'once again', 'service', 'not', 'fear', 'entrapment']",,,,,,,,,,,,,,,,,,,,,
166,182,,,166_Fuyang_Xinjiang_Wuhu_Fuyang,"['Fuyang', 'Xinjiang', 'Wuhu', 'Fuyang City', 'Too difficult', 'Welcome', 'Do you have any', 'Accent', 'Anhui', 'Applause']",,,,,,,,,,,,,,,,,,,,,
167,241,Health,Fear of Childbirth,167_aging_after giving birth_immortality_acceleration,"['aging', 'after giving birth', 'immortality', 'acceleration', 'old age', 'youth', 'child', 'skin', 'aging', 'looking old']",,,,,,,,,,,,,,,,,,,,,
168,177,Values,Individualism,168_Three Views_The More Righteous the More Righteous the More Righteous the More Righteous,"['Three Views', 'The more positive the more', 'too positive', 'not positive', 'boring', 'see through', 'the more positive', 'too strong', 'very positive', 'lonely']",,,,,,,,,,,,,,,,,,,,,
169,211,Values,Individualism,169_Covering face_shy_black face_This palace,"['Cover face', 'shy', 'black face', 'My wife', 'Voice of the heart', 'Dear', 'Quick', 'Bring it', 'Hormone', 'Drink egg']",,,,,,,,,,,,,,,,,,,,,
170,162,Health,Fear of Childbirth,170_afraid_dare not_worry_terrified,"['afraid', 'dare not', 'worried', 'terrified', 'close call', 'woohoo', 'afraid of pain', 'terrified', 'really brave', 'are you afraid']",,,,,,,,,,,,,,,,,,,,,
171,154,Health,Fear of Childbirth,171_Old_Leftover_Leftover_Youth Forever,"['Old', 'Leftover women', 'Leftover men', 'Forever young', 'Athena', 'Even worse', 'Paralysis', 'Forever young', 'Secret', 'End']",,,,,,,,,,,,,,,,,,,,,
172,148,,,172_support_mouth_Internet_original,"['support', 'mouth replacement', 'Internet', 'originally', 'very difficult', 'so that's the case', 'reward', 'persistence', 'network', 'strong support']",,,,,,,,,,,,,,,,,,,,,
173,173,Values,Individualism,173_truth_so fake_sincere_sincere,"['truth', 'so fake', 'sincere', 'truth', 'too fake', 'really true', 'true', 'true and fake', 'really possible', 'true explanation', 'dei']",,,,,,,,,,,,,,,,,,,,,
174,192,,,174_teacher_thank_smart_wise,"['teacher', 'thank you', 'smart', 'wise', 'speak well', 'loving', 'grateful', 'professor', 'listening to the class', 'Teacher Chen']",,,,,,,,,,,,,,,,,,,,,
175,175,Health,Fear of Childbirth,175_terrible_horror_horror_first,"['terrible', 'horror', 'terrified', 'first', 'scary', 'scared to death', 'horror movie', 'careful thinking', 'fear', 'mental state']",,,,,,,,,,,,,,,,,,,,,
176,150,Values,Individualism,176_freedom_free and easy_romance_life or not,"['freedom', 'free and easy', 'romance', 'life or not', 'happiness', 'what', 'lose', 'forever', 'one', 'like']",,,,,,,,,,,,,,,,,,,,,
177,144,Childrearing Cost,Economic Uncertainty,177_tears_speak_in_heart_beans,"['tears', 'speak', 'voice of the heart', 'beans', 'cream', 'meet', 'ww', 'Xiaoman', 'heart', 'widowed']",,,,,,,,,,,,,,,,,,,,,
178,280,Values,Conflict,178_identify_agree_agree,"['identify', 'agree', 'sympathize', 'agree', 'viewpoint', 'strongly', 'completely agree', 'very difficult', 'refute', 'fair']",,,,,,,,,,,,,,,,,,,,,
179,188,Childrearing Cost,Economic Uncertainty,179_dare not_dare to give birth_regenerate_cannot afford to give birth,"['dare not', 'dare to give birth', 'give birth', 'can't afford to give birth', 'stand in line', 'take up birth', 'two children', 'check in', 'footsteps', 'mostly']",,,,,,,,,,,,,,,,,,,,,
180,162,Values,Gender Equality,180_problem_question_nothing_powerful,"['problem', 'question', 'nothing', 'great', 'nothing', 'no problem', 'relationship', 'a little bit', 'phenomenon']",,,,,,,,,,,,,,,,,,,,,
181,213,Population Structure,Low Ferility,181_extinction_human_dinosaur_Earth,"['extinction', 'human', 'dinosaur', 'earth', 'reproduction', 'no birth', 'many births', 'creator', 'descendants', 'born to']",,,,,,,,,,,,,,,,,,,,,
182,135,,,182_hahaha_ahaha_hahahaha_read,"['hahaha', 'aha', 'hahahaha', 'read', 'small hot pot', 'vape', 'North Pole', 'rotate', 'five minutes', 'go downstairs']",,,,,,,,,,,,,,,,,,,,,
183,162,,,183_Chat_WeChat_Talk,"['chat', 'WeChat', 'friend', 'talk', 'chat', 'a few words', 'continuous', 'after connecting', 'I'll connect', 'two sentences']",,,,,,,,,,,,,,,,,,,,,
184,180,Population Structure,Labor Surplus,184_pighead_reason_117_no,"['Pig head', 'reason', '117', 'no', 'feed', 'leek', 'graduate student', 'too right', 'shake head', 'pig raising']",,,,,,,,,,,,,,,,,,,,,
185,241,Population Structure,Labor Surplus,185_know_sensible_crying_really,"['know', 'sensible', 'cry', 'really', 'nun', 'tears', 'x000d', 'knower', 'ignorant', 'production team']",,,,,,,,,,,,,,,,,,,,,
186,167,Population Structure,State Intervention,186_era_open_mouth_us,"['era', 'time', 'open mouth', 'us', 'classic', 'hate', 'different', 'open mouth', 'close mouth', 'most annoying']",,,,,,,,,,,,,,,,,,,,,
187,187,Values,Individualism,187_Humanity_Sober_Humanity_It doesn't matter,"['Human world', 'Sober', 'Human nature', 'It doesn't matter', 'Lingling', 'Human management', 'Real', 'Wanling', 'Guo Tian', 'This child']",,,,,,,,,,,,,,,,,,,,,
188,130,,,188_Hahaha_Believe it or not_Lipstick_More than,"['Hahaha', 'Believe it or not', 'Lipstick', 'More than', 'Red', 'Love', 'Color number', 'No', 'Please give me a kiss', 'Sober']",,,,,,,,,,,,,,,,,,,,,
189,211,Values,Gender Equality,189_Serve_Find_a_man,"['serve', 'service', 'find', 'man', 'take care of', 'virtuous', 'gentle', 'housework', 'unreliable', 'unreliable']",,,,,,,,,,,,,,,,,,,,,
190,192,Values,Individualism,190_advantages_disadvantages_don't want to_can't say,"['advantages', 'disadvantages', 'don't want', 'can't say', 'reason', 'can't tell', 'it seems', 'can't say', 'don't want', 'this counts']",,,,,,,,,,,,,,,,,,,,,
191,182,,,191_mouth replacement_internet_accent_lip sync,"['lip replacement', 'internet', 'accent', 'lip sync', 'thank you', 'wisdom teeth', 'lip beads', 'will thank you', 'lip shape', 'lips']",,,,,,,,,,,,,,,,,,,,,
192,173,Values,Individualism,192_indeed_fact_really_it is true,"['indeed', 'fact', 'really', 'indeed', 'sincerely', 'as if', 'tears', 'well said', '666', 'the key']",,,,,,,,,,,,,,,,,,,,,
193,166,Values,Individualism,193_This is it_Expert_Crying_Yacai,"['this talent', 'expert', 'tears', 'talent', 'name', 'us', 'crying', 'able to deal with', 'listen', 'skill']",,,,,,,,,,,,,,,,,,,,,
194,190,Utility,Emotional Support,194_Like_Excessive_Destination_Poetry,"['like', 'excessive', 'home', 'in poetry', 'Wang Wei', 'sister', 'too much', 'sister', 'super', 'familiar']",,,,,,,,,,,,,,,,,,,,,
195,130,Childrearing Cost,Economic Uncertainty,195_Want to have a baby_Can't afford to support_Whether to have a baby_If you have a baby,"['Want to have a baby', 'Can't afford to support', 'Should I have a baby', 'If I have a baby', 'I'll have another baby', 'A few babies', 'I want to have babies', 'What kind of babies', 'Can't afford to have a baby', 'Time period']",,,,,,,,,,,,,,,,,,,,,
196,187,Values,Individualism,196_despair_stare_suffocate_sick,"['despair', 'stare', 'suffocate', 'sick', 'reject', 'absolutely', 'shake head', 'earthquake', 'sick', 'eyes']",,,,,,,,,,,,,,,,,,,,,
197,125,,,197_Girlfriend_Send_Chili_Girlfriends Meeting,"['Bestie', 'Send away', 'Chili', 'Bestie's meeting', 'Expect', 'Reliable', 'Half a year', 'Agree', 'Persuade', 'In front']",,,,,,,,,,,,,,,,,,,,,
198,255,Values,Individualism,198_Recite_Tears_Full text_Come come come,"['recite', 'tears', 'full text', 'come come come', 'come and see', 'sad', 'tears', 'heartbroken', 'come', 'read it carefully']",,,,,,,,,,,,,,,,,,,,,
199,209,Values,Individualism,199_Agree_Not bad_Come on_Good,"['Agree', 'Not bad', 'Keep it up', 'Good', 'Answer', 'Recommend', 'Great', 'Excellent', 'Style']",,,,,,,,,,,,,,,,,,,,,
200,282,Population Structure,Old Age Care Demand,200_suffering_suffering_suffering,"['suffering', 'suffering', 'the ups and downs of life', 'suffering', 'suffering', 'suffering', 'first bitter then sweet', 'all living beings', 'sadness', 'sweet first', 'life']",,,,,,,,,,,,,,,,,,,,,
201,216,Values,Family Diversity,201_lover_lover_hahahaha_hahaha,"['lover', 'lover', 'hahahaha', 'hahaha', 'uncle', 'marriage', 'maybe', 'tears', 'covering face', 'not lost']",,,,,,,,,,,,,,,,,,,,,
202,338,Values,Family Diversity,202_divorced_divorce_halfway_single parent,"['divorced', 'divorced', 'halfway', 'single parent', 'son', 'husband', 'couple', 'happiness', 'daughter', 'family']",,,,,,,,,,,,,,,,,,,,,
203,127,Values,Gender Equality,203_handsome_so handsome_handsome_so handsome,"['handsome guy', 'very handsome', 'handsome', 'too handsome', 'love', 'Xinjiang', 'applause', 'heart', 'taxi driver', 'speak well']",,,,,,,,,,,,,,,,,,,,,
204,227,Values,Individualism,204_Impulsive_Sober_Need_Marriage,"['impulsive', 'clear', 'need', 'marriage', 'can't', 'mind', 'human world', 'love', 'see through', 'precise']",,,,,,,,,,,,,,,,,,,,,
205,170,Utility,Intergenerational Support,205_lonely_alone_orphanage_around,"['lonely', 'alone', 'orphanage', 'around', 'children', 'old age', 'accompany', 'talk', 'orphan', 'old man']",,,,,,,,,,,,,,,,,,,,,
206,433,Values,Individualism,206_You give birth_I give birth_wool_birth point,"['You give birth', 'I give birth', 'wool', 'give birth', 'love giving birth', 'cover face', 'send heart', 'give birth', 'try hard', 'football team']",,,,,,,,,,,,,,,,,,,,,
207,182,Values,Individualism,207_Expert_Only_This_has_always,"['expert', 'only', 'only', 'always', 'nervous', 'master', 'register', 'civilian', 'my drop', 'in my heart']",,,,,,,,,,,,,,,,,,,,,
208,301,,,208_download_look_look_good,"['Download', 'Watch it', 'Take a look', 'Good looking', 'Every day', 'Can't', 'Watch it once', 'Daily', 'Once', 'Collect']",,,,,,,,,,,,,,,,,,,,,
209,143,Values,Gender Equality,209_fear of marriage_fear of having children_fear_terror,"['fear of marriage', 'fear of childbearing', 'fear', 'horror', 'younger generation', 'terrible', 'fear', 'fear of pregnancy', 'not afraid of marriage', 'marriage']",,,,,,,,,,,,,,,,,,,,,
210,165,Utility,Reproduction,210_blessings_congratulations_roses_heart,"['blessings', 'congratulations', 'roses', 'heart', 'scatter flowers', 'hug', 'have a baby soon', 'teacher', 'rise', 'safe']",,,,,,,,,,,,,,,,,,,,,
211,156,Values,Individualism,211_send heart_learn_learn_pure,"['send heart', 'learn', 'learn', 'pure', 'big enemy', 'learn', 'dedication', 'little art', 'learn', 'learn']",,,,,,,,,,,,,,,,,,,,,
212,116,Population Structure,State Intervention,212_fine_return_correct_third child,"['fine', 'return', 'correct', 'third child', 'child support', 'Henan', 'second child', 'fine', 'return', 'no fine']",,,,,,,,,,,,,,,,,,,,,
213,155,Values,Family Diversity,213_Partner_Find_an_old_man_to_live_with,"['partner', 'find one', 'old man', 'partner', 'live together', 'partner', '60', 'I want', 'wrestling', 'like-minded']",,,,,,,,,,,,,,,,,,,,,
214,267,Values,Individualism,214_responsibility_responsible_society_individual,"['responsibility', 'responsible', 'society', 'individual', 'collective', 'personal', 'fulfillment', 'selfless dedication', 'kindness', 'dedication']",,,,,,,,,,,,,,,,,,,,,
215,195,Childrearing Cost,Economic Uncertainty,215_Can't afford it_Don't dare_Give birth_What to give birth to,"['Can't afford to get married', 'Don't dare', 'Still have a baby', 'What to have', 'Have a baby', 'Get married', 'Can't afford to have a baby', 'Don't want to', 'How to have a baby', 'How dare I']",,,,,,,,,,,,,,,,,,,,,
216,137,Utility,Reproduction,216_193_too tall_height_190,"['193', 'Too high', 'Height', '190', 'Lowest', 'South Korea', '06', '175', 'How to give birth', 'Lower to']",,,,,,,,,,,,,,,,,,,,,
217,134,Values,Individualism,217_moral_kidnapping_quality_literacy,"['morality', 'kidnapping', 'quality', 'literacy', 'care', 'interest', 'bottom line', 'beneficial', 'collective interest', 'for']",,,,,,,,,,,,,,,,,,,,,
218,193,Values,Individualism,218_shit_relationship_what_is there,"['shit', 'relationship', 'what's the matter', 'is there', 'none of his business', 'nothing to do with him', 'it doesn't matter', 'thing', 'whether it happens or not', 'loud', 'that sentence']",,,,,,,,,,,,,,,,,,,,,
219,211,Utility,Intergenerational Support,219_Old age_Old age life_Having children_Getting married,"['late years', 'late life', 'having children', 'getting married', 'miserable', 'difficult', 'certain', 'old age', 'having children', 'getting married']",,,,,,,,,,,,,,,,,,,,,
220,143,,,220_heart_too_not popular_1227,"['heart', 'too', 'not popular', '1227', 'set up stall', 'ui', 'klliy', 'high', 'stick', 'at most']",,,,,,,,,,,,,,,,,,,,,
221,171,,,221_There is a ghost_Listen_Lychee_Xiaoguai,"['There is a ghost', 'Listen', 'Lychee', 'Little good', 'Is', 'Good boy', 'Disobedient', 'I believe', 'Wooden fish', 'Can']",,,,,,,,,,,,,,,,,,,,,
222,172,Values,Conflict,222_older_ideology_generation_era,"['older generation', 'thought', 'generation', 'era', 'acceptance', 'era', 'different', 'generation', 'lips', 'generation']",,,,,,,,,,,,,,,,,,,,,
223,162,,,223_Hug_Copy_Forward_Written,"['hug', 'copywriting', 'forward', 'well written', 'farewell', 'great', 'rely', 'lean on', 'listen to music', 'really good', 'thank you']",,,,,,,,,,,,,,,,,,,,,
224,118,Population Structure,Low Ferility,224_Nuclear weapons_Reincarnation_Experts_Human words,"['Nuclear weapons', 'Reincarnation', 'Experts', 'Human words', 'Mouth substitute', 'No need', 'Influence', 'Finally', 'Internet', 'Playing mahjong']",,,,,,,,,,,,,,,,,,,,,
225,121,Population Structure,Low Ferility,225_Very difficult_Difficult point_Very difficult_Not difficult,"['very difficult', 'difficult point', 'very difficult', 'not difficult', 'too difficult', 'difficult', 'very difficult', 'like a flower', 'it's too difficult for me', 'guanguan']",,,,,,,,,,,,,,,,,,,,,
226,264,,,226_That's right_Too right_That's right_Correct,"['That's right', 'Too right', 'You're right', 'Correct', 'Right', 'yes', 'Indeed', 'tm', 'That's right', 'play']",,,,,,,,,,,,,,,,,,,,,
227,274,Population Structure,State Intervention,227_country_no_birth_no_birth_contribution,"['country', 'no birth', 'birth or not', 'contribution', 'overseas', 'relationship', 'shit', 'China', 'manage well', 'benefit the country and the people']",,,,,,,,,,,,,,,,,,,,,
228,164,Childrearing Cost,Domestic labor,228_dare not_dare to give birth_cover face_raise hand,"['dare not', 'dare to give birth', 'cover face', 'raise hand', 'give birth', 'spit blood', 'give birth', 'shy', 'belong to', 'buy one']",,,,,,,,,,,,,,,,,,,,,
229,161,Values,Individualism,229_Great_Enlightenment_Truth_Sensible,"['Great', 'Enlightenment', 'Truth', 'Sensible', 'Expert', 'Why', 'Enjoyable', 'Awesome', 'Novel', 'Sunglasses']",,,,,,,,,,,,,,,,,,,,,
230,111,Values,Family Diversity,230_really_seems_this_woc,"['really', 'seems', 'this is', 'woc', 'baby', 'only now', 'smirk', 'very', 'this is', 'maybe']",,,,,,,,,,,,,,,,,,,,,
231,351,Values,Individualism,231_marriage_free_marriage_together,"['marriage', 'freedom', 'marry', 'together', 'encounter', 'free', 'life', 'don't', 'choose', 'can']",,,,,,,,,,,,,,,,,,,,,
232,170,Values,Conflict,232_Thought_Feudal Thought_Culture_Thinking,"['thought', 'feudal thought', 'culture', 'thinking', 'higher education', 'this', 'change', 'tradition', 'concept', 'education']",,,,,,,,,,,,,,,,,,,,,
233,152,Values,Individualism,233_90_00_50_80,"['90', '00', '50', '80', '97', '96', 'Main', '2030', '1990', 'Single']",,,,,,,,,,,,,,,,,,,,,
234,180,Utility,Intergenerational Support,234_fengshui_fortune-telling_doubt_fortune-teller,"['feng shui', 'fortune telling', 'doubt', 'fortune teller', 'calamity', 'problem', 'my mother', 'village', 'ancestors', 'my home']",,,,,,,,,,,,,,,,,,,,,
235,142,Values,Family Diversity,235_New Year_Going Home_Print_Go Back,"['New Year', 'Go home', 'Print', 'Go back', 'Send to one person', 'Afraid', 'One copy', 'Spring Festival', 'Each return', 'Each family']",,,,,,,,,,,,,,,,,,,,,
236,166,Values,Individualism,236_happiness_envy_index_happiness,"['happiness', 'envy', 'index', 'happiness', 'unhappiness', 'ism', 'ta', 'blogger', 'ist', 'hard work']",,,,,,,,,,,,,,,,,,,,,
237,251,Values,Individualism,237_hahahaha_hahaha_real_know,"['hahahaha', 'hahaha', 'real', 'know', 'lightyear', 'track', 'ok', 'right', 'help', 'last']",,,,,,,,,,,,,,,,,,,,,
238,168,Childrearing Cost,Public Support,238_Not allowed_before_want_to_have_children_now,"['not allowed', 'before', 'want to have a baby', 'now', 'not allowed', 'encourage', 'you have a baby', 'years ago', 'early birth', 'at the beginning']",,,,,,,,,,,,,,,,,,,,,
239,205,Population Structure,Old Age Care Demand,239_Save_Collect_Hairstyle_Follow,"['Save', 'Collect', 'Hairstyle', 'Follow', 'Come and see', 'Want to post', 'Link', 'Third block', 'Limit flow', 'Cart']",,,,,,,,,,,,,,,,,,,,,
