Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,300,87_Meeting_Miracle_App_Meeting,Utility, Emotional Support,"['encounter', 'miracle', 'app', 'meet', 'meet', 'hobby', 'meet', 'matching app', 'healing', 'meet']","['meeting', 'meeting', 'dating']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,294,88_Fried_Omelette_Hamburger_Natto,Childrearing Cost,Domestic Labor,"['fried', 'tamagoyaki', 'hamburger', 'natto', 'gasoline', 'delicious', 'soy sauce', 'delicious', 'omurice', 'egg']","['I love fried chicken, it looks delicious', 'Fried chicken looks so delicious', 'Fried chicken looks really delicious']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,306,89_Dimension_Examination_Meaning_Exactly,Population Structure,State Intervention,"['dimension', 'examination', 'meaning', 'exactly', 'world', 'pyramid', 'this', 'policy', 'exactly', 'listen']","['different dimension', 'different dimension', 'different dimension']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,272,90_Tokyo_Pine_Left_hand_Region,,,"['Tokyo', 'pineapple', 'left hand', 'region', 'right hand', 'expensive', 'Tokyo', 'chilled', 'nostalgic', 'urban']","['Tokyo', 'Tokyo', 'Tokyo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,254,91_Milk_You_Farmer_Second_Son,Childrearing Cost,Domestic Labor,"['milk', 'you', 'farmer', 'second son', 'dairy farming', 'same age', 'polish', 'brown rice', 'thankful', 'poor thing']","['Rice and milk make me happy', 'Rice and milk make spring come soon', 'Milk makes me laugh']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,215,92_Grapes_Grapes_Coolish_First Time,,,"['Grapes', 'Grapes', 'Coolish', 'First time', '', '', '', '', '']","['grapes', 'grapes', 'grapes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,342,93_solitude_lonely_lonely_lonely,Population Structure,Old Age Care Demand,"['loneliness', 'lonely', 'lonely', 'lonely', 'withdrawn', 'reclusive', 'alone', 'die', 'friends', 'poor']","['Who is lonely', 'Who is lonely', 'Solitary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,343,94_Happy_Heaven_Happiness_Yes,Utility, Emotional Support,"['happy', 'heaven', 'happiness', 'yes', 'greatest', 'mood', 'ok', 'healthy', 'above all', 'smile']","['Happiness is the best', 'Happiness', 'Happiness is the best']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,337,95_I understand_I understand_I understand_I understand,,,"['understandable', 'understandable', 'understandable', 'understandable', 'earth', 'very', 'research', 'data', 'rotate', 'easy']","['I get it', 'I get it', 'I get it very well']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,623,96_Give birth_Give birth_Give birth,Utility,Reproduction,"['give birth', 'give birth', 'give birth', 'give birth', 'child', 'give birth', 'be born', 'give birth', 'give birth', 'child']","['A man will give birth to a child. A woman will give birth at the risk of her life.', 'A country that gives birth to children.', 'A country that gives birth to children.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,501,97_Pregnancy_Cyst_Menstruation_Childbirth,Health,Assisted Reproduction,"['pregnancy', 'cyst', 'period', 'birth', 'ovaries', 'ovulation', 'syndrome', 'nature', 'infertility', 'diagnosis']","['PCOS, natural pregnancy for first child, ovulation after taking Clomid prescription, safe pregnancy, now 8 months pregnant', 'I've always had irregular periods, been diagnosed with PCOS, taken pills and hormones regularly, but my period is better than before. When I want to have children in the future, it's probably difficult to get pregnant naturally, so I'm worried about infertility treatment. I'm going to get pregnant naturally and have a child, due to give birth next month', 'I have PCOS, irregular periods, of course, ovulation, I took Clomid, an ovulation inducer, and I got pregnant with a son, now 8 months pregnant']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,248,98_University_High school_College_Graduate,Childrearing Cost,Expense,"['college', 'high school', 'college student', 'graduation', 'high school student', 'junior high school', 'middle school', 'take', 'go', 'student']","['University is too expensive', 'I think high school and university cost more', 'High school and university are difficult']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,437,99_Tired_Today_Rest,Childrearing Cost,Domestic Labor,"['Tired', 'Tired', 'Today', 'Rest', 'Slowly', 'Rest', 'Live', 'Time', 'Health', 'Dad']","['I'm tired', 'Tired', 'Tired']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,235,100_glasses_tax increase_sunglasses_glasses,Population Structure,State Intervention,"['glasses', 'tax increase', 'sunglasses', 'glasses', 'consideration', 'various', 'highway robber', 'good', 'shit', 'guerrilla']","['tax increase glasses', 'tax increase glasses yu', 'tax increase glasses']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,240,101_18_19_Same-sex_35,Values,Family Diversity,"['18', '19', 'same sex', '35', 'last train', 'enlightenment', 'recognition', 'lgbt', 'homosexuality', '21']","['18 years old adult 18 years old child', '19 19', '18 pieces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,264,102_Papa_Mofusand_Entertainment_Easy,,,"['Papa', 'Mofusand', 'Entertainment', 'Easy', 'Papaya', 'No', 'Harm', 'Tamo', 'Just now', 'Pachinko']","['Dad's pottery', 'Dad's age']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,359,103_Amazing_Strong_Amazing_Great,Childrearing Cost,Public Support,"['Amazing', 'Strong', 'Awesome', 'Awesome', 'Good effort', 'Too much', 'Big', 'Too much', 'Cool', 'Good effort']","['Amazing, good work', 'Amazing work', 'Amazing work']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,424,"104_Leave it to me, handsome guy",Values,Gender Equality,"['me', 'you', 'leave it to me', 'handsome guy', 'me', 'this guy', 'mix', 'do it', 'do it', 'do it']","['It's me', 'That's right', 'Leave it to me']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,320,105_Two eyebrows connected,,,"['mayu', 'two', 'connected', 'two', 'two', 'one and two', 'mechanko', 'connected', 'dai']","['I like Mayu-nee', 'Mayu-nee is too thin', 'Mayu-nee is too thin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1022,106_Mother_says_father_is_difficult,Values,Gender Equality,"['mother', 'say', 'father', 'difficult', 'couple', 'mom', 'parents', 'giving birth', 'abuse', 'raising']","['My parents were on the verge of divorce, my mother ran away, my three brothers were in adolescence, and now I see posts from parents with children, and I wonder what kind of mother they are', 'My parents were on the verge of divorce, my mother ran away, my three brothers were in adolescence, and now I see posts from parents with children, and I wonder what kind of mother they are', 'My children are really cute, and it's only natural that a mother should be like this, and a father is in such a difficult time']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,261,107_30_31_Rush_Lost,Values,Individualism,"['30', '31', 'enter', 'lost', '40', 'single', 'late', 'over', '28', 'seeming']","['Over 300,000 yen for two', 'I like women in their 30s', 'I'm already 30']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,378,108_like_love_recommend_sympathize,Utility, Emotional Support,"['like', 'love', 'recommended', 'sympathy', 'reassurance', 'bashing', 'want', 'like', 'everyone', 'addicted']","['I love this', 'I love it', 'I love it, I love it']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,311,109_Cute_Too_Cute,Utility, Emotional Support,"['cute', 'kawaii', 'too', 'too much', '๑ᴗ', 'kind', 'Fumiko', 'Hiro', 'Nyaa', 'Hokuriku']","['cute', 'cute', 'cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,210,110 Thank you very much,,,"['Thank you', 'Thank you', 'Thank you', 'Thank you', 'Thank you', 'Thank you', 'Thank you', 'Thank you', '', '', '']","['Thank you', 'Thank you', 'Thank you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,208,111_Akashi_Mayor_Male_Kobe,Population Structure,State Intervention,"['Akashi', 'Mayor', 'Boys', 'Kobe', 'Hyogo', 'Living in', 'Osaka', 'Imitation', 'Hilarious', 'Nationwide']","['Akashi City is really amazing', 'Akashi City is wonderful', 'Akashi City is amazing']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,196,112 Hungary Migration 27 Consumption,Population Structure,State Intervention,"['Hungary', 'immigration', '27', 'consumption', 'housing', 'policy', 'birth', 'go', 'Japan', 'go']","['Hungary me', 'Hungary', 'Hungary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,226,113_Handsome_All_Brothers,,,"['handsome', 'everyone', 'everyone', 'brothers', 'amazing', 'everyone', 'the best', 'all together', 'amazing', 'yan']","['All of them are handsome', 'All of them are handsome', 'All of them are handsome']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,225,114_Drink_Oronamin_Slowly_Drink,Health,Assisted Reproduction,"['oronamin', 'drink', 'slowly', 'drink', 'drink', 'looks', 'can drink', 'big', 'drink', 'drink']","['Oronamin C', 'Oronamin C', 'Oronamin C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,526,115_Go back_Follow_Pinned_Help,Utility, Emotional Support,"['Go home', 'Follow', 'Pinned', 'Help', 'Go', 'Okay', 'Go home', 'Help', 'Phew', 'Help']","['Go home', 'When I get home, I say go home lol', 'Thank you, come home son. \n Ah, I want to help. \n I heard from the local government that I can help, but']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,340,116_fun_enjoy_fun_enjoy,Utility, Emotional Support,"['fun', 'fun', 'fun', 'enjoy', 'fun', 'yes', 'life', 'win', 'interesting', 'olden days']","['Looks fun', 'Looks really fun', 'Looks really fun']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,231,117_50_31_40_visible,Values,Individualism,"['50', '31', '40', 'visible', '57', '51', '49', '43', '48', 'visible']","['50s thinking', '50 years old thinking', '50 thinking']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,275,118_Yokohama_Necessary_for_unique,Population Structure,State Intervention,"['Yokohama', 'necessary', 'for', 'unique', 'Sendai', 'bad', 'Hirafu', 'common', 'other country', 'destroy']","['Country is not a country, but a country. But if you think about children, you have to give birth. You ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,263,119_Wife_Bride_Equal_Husband,Utility, Emotional Support,"['wife', 'bride', 'equal share', 'husband', 'boyfriend', 'ex-wife', 'receive', 'real estate', 'oh', 'right']","['What a good wife', 'Best wife', 'Wife']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,292,120_Divorce_Remarriage_Middle-aged_Separation,Values,Conflict,"['divorce', 'remarriage', 'middle-aged', 'separation', 'atonement', 'accumulation', 'cause', 'each other', 'unfixed', 'other person']","['divorced', 'divorced', 'divorced now']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,247,121_Washing_Folding_Drying_Folding,Childrearing Cost,Domestic Labor,"['washing', 'fold', 'dry', 'fold', 'drying', 'basket', 'folded', 'blue', 'bowl', 'put in']","['Same washing machine', 'Just doing the laundry', '5 days of laundry']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,481,122_Happy_Life_My_Own_Life,Values,Individualism,"['happiness', 'life', 'myself', 'living', 'others', 'unhappiness', 'value', 'regret', 'thoughts', 'see']","['Feeling happy, feeling unhappy', 'Yes, yes, your real parents are only happy, only blood relatives are unhappy, your parents are unhappy, people with their own preconceived notions, prejudices and values want you to decide for yourself whether you are happy, you decide for yourself whether you are unhappy, happy', 'Yes, yes, your real parents are only happy, only blood relatives are unhappy, only blood relatives are unhappy, people with their own preconceived notions, prejudices and values want you to decide for yourself whether you are happy, you decide for yourself whether you are unhappy, happy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
